Date,Open,High,Low,Close,Volume,Adj Close
1994-04-04,7.241,7.44,7.07,7.302,000,7.302
1994-03-01,6.692,7.187,6.666,7.125,000,7.125
1994-02-01,6.231,6.741,6.231,6.671,000,6.671
1994-01-03,6.346,6.415,6.148,6.224,000,6.224
1993-12-01,6.301,6.358,6.121,6.339,000,6.339
1993-11-01,6.02,6.367,6.02,6.286,000,6.286
1993-10-01,5.98,6.02,5.78,5.965,000,5.965
1993-09-01,6.09,6.14,5.86,6.04,000,6.04
1993-08-02,6.56,6.56,6.09,6.09,000,6.09
1993-07-01,6.69,6.71,6.54,6.57,000,6.57
1993-06-01,6.88,6.91,6.67,6.68,000,6.68
1993-05-03,6.86,7.03,6.80,6.98,000,6.98
1993-04-01,6.97,7.06,6.73,6.95,000,6.95
1993-03-01,6.83,6.94,6.72,6.93,000,6.93
1993-02-01,7.21,7.26,6.83,6.90,000,6.90
1993-01-04,7.33,7.48,7.21,7.21,000,7.21
1992-12-01,7.57,7.57,7.34,7.40,000,7.40
1992-11-02,7.66,7.76,7.51,7.59,000,7.59
1992-10-01,7.30,7.66,7.30,7.63,000,7.63
1992-09-01,7.38,7.48,7.23,7.38,000,7.38
1992-08-03,7.46,7.47,7.32,7.42,000,7.42
1992-07-01,7.76,7.76,7.43,7.46,000,7.46
1992-06-01,7.90,7.90,7.78,7.79,000,7.79
1992-05-01,8.01,8.03,7.77,7.84,000,7.84
1992-04-01,7.90,8.10,7.85,8.06,000,8.06
1992-03-02,7.90,8.07,7.88,7.96,000,7.96
1992-02-03,7.82,7.97,7.74,7.80,000,7.80
1992-01-02,7.46,7.79,7.39,7.77,000,7.77
1991-12-02,7.92,7.92,7.41,7.41,000,7.41
1991-11-01,7.93,8.02,7.80,7.94,000,7.94
1991-10-01,7.81,8.10,7.79,7.91,000,7.91
1991-09-03,8.05,8.09,7.82,7.82,000,7.82
1991-08-01,8.38,8.38,7.99,8.06,000,8.06
1991-07-01,8.44,8.53,8.36,8.36,000,8.36
1991-06-03,8.34,8.55,8.34,8.42,000,8.42
1991-05-01,8.18,8.36,8.14,8.26,000,8.26
1991-04-01,8.25,8.30,8.11,8.20,000,8.20
1991-03-01,8.28,8.42,8.20,8.24,000,8.24
1991-02-01,8.09,8.19,7.95,8.19,000,8.19
1991-01-02,8.14,8.46,8.11,8.21,000,8.21
1990-12-03,8.36,8.37,8.07,8.26,000,8.26
1990-11-01,8.70,8.73,8.40,8.40,000,8.40
1990-10-01,8.84,9.08,8.74,8.78,000,8.78
1990-09-04,9.03,9.18,8.92,8.96,000,8.96
1990-08-01,8.36,9.17,8.36,8.99,000,8.99
1990-07-02,8.41,8.59,8.40,8.42,000,8.42
1990-06-01,8.43,8.56,8.36,8.41,000,8.41
1990-05-01,9.04,9.05,8.58,8.58,000,8.58
1990-04-02,8.63,9.04,8.52,9.00,000,9.00
1990-03-01,8.61,8.72,8.47,8.63,000,8.63
1990-02-01,8.44,8.66,8.36,8.54,000,8.54
1990-01-02,8.00,8.55,8.00,8.46,000,8.46
1989-12-01,7.88,8.00,7.83,7.98,000,7.98
1989-11-01,7.89,7.97,7.87,7.90,000,7.90
1989-10-02,8.22,8.22,7.87,7.92,000,7.92
1989-09-01,8.14,8.30,8.07,8.24,000,8.24
1989-08-01,7.83,8.25,7.83,8.21,000,8.21
1989-07-03,8.07,8.17,7.92,7.92,000,7.92
1989-06-01,8.61,8.61,8.05,8.05,000,8.05
1989-05-01,9.00,9.12,8.60,8.60,000,8.60
1989-04-03,9.07,9.15,8.91,8.91,000,8.91
1989-03-01,9.18,9.31,9.05,9.11,000,9.11
1989-02-01,8.83,9.18,8.80,9.14,000,9.14
1989-01-03,9.09,9.10,8.76,8.84,000,8.84
1988-12-01,9.02,9.18,8.92,9.00,000,9.00
1988-11-01,8.76,9.18,8.76,9.07,000,9.07
1988-10-03,8.96,8.98,8.74,8.74,000,8.74
